Data_Split;FL;Non-IID;y_Dist;Epochs;Batches;Participant;ROC_AUC_Train;ROC_AUC_Test;ROC_AUC_OOS;LOGLOSS_Train;LOGLOSS_Test;LOGLOSS_OOS;PRAUC_Train;PRAUC_Test;PRAUC_OOS;BRIER_Train;BRIER_Test;BRIER_OOS;Model;Model_Type;TTG_ROCAUC;TTG_LOGLOSS;TTG_PRAUC;TTG_BRIER
8-2-1;0;0;7.83% - 7.85% - 7.90%;3;512;1;0,769200029;0,762549841;0,760809541;0,23692523;0,243833381;0,239791566;0,242769864;0,246423638;0,22892265;0,065137262;0,067019159;0,065925238;Model 1;NonFed;0,006650188;-0,006908151;0;-0,001881897
8-2-1;0;0;7.83% - 7.85% - 7.90%;3;512;2;0,716477951;0,720215789;0,711598468;0,255541854;0,249469739;0,25471586;0,183773066;0,18994309;0,172920343;0,069587045;0,067668415;0,069145512;Model 2;NonFed;0;0;0;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;3;512;3;0,634206466;0,654480993;0,632025202;0,281316971;0,275735211;0,278214824;0,129190981;0,133909531;0,122628938;0,075650302;0,074511709;0,074365822;Model 3;NonFed;0;0;0;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;3;256;1;0,768184974;0,76155945;0,758912319;0,237626227;0,244713274;0,240927502;0,242514123;0,245393022;0,226506347;0,065216811;0,067197973;0,066121585;Model 1;NonFed;0,006625524;-0,007087047;0;-0,001981162
8-2-1;0;0;7.83% - 7.85% - 7.90%;3;256;2;0,741454589;0,744847533;0,732373327;0,248703476;0,242847162;0,248749455;0,20958868;0,214492297;0,194632074;0,068085071;0,066305198;0,067925183;Model 2;NonFed;0;0;0;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;3;256;3;0,683161572;0,697716891;0,678114783;0,265908155;0,261448184;0,262580563;0,158980639;0,163522148;0,148321276;0,071955801;0,071086036;0,070706899;Model 3;NonFed;0;0;0;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;3;128;1;0,768223675;0,760937865;0,757558131;0,237984624;0,245300776;0,242092577;0,241157958;0,243035211;0,223703672;0,065413774;0,06738916;0,066478172;Model 1;NonFed;0,00728581;-0,007316152;0;-0,001975386
8-2-1;0;0;7.83% - 7.85% - 7.90%;3;128;2;0,757596702;0,761122681;0,745194731;0,243777712;0,23821812;0,245081048;0,230850783;0,231284881;0,207920462;0,066970824;0,065365352;0,067192529;Model 2;NonFed;0;0;0;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;3;128;3;0,722016052;0,727758519;0,71306421;0,256212554;0,253669232;0,253938239;0,190659025;0,194206505;0,175248791;0,070051214;0,069455919;0,069025907;Model 3;NonFed;0;0;0;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;3;64;1;0,749053823;0,741372187;0,731950409;0,244661663;0,252787289;0,250888035;0,218173755;0,218003472;0,195996816;0,066527178;0,06869825;0,067719146;Model 1;NonFed;0,007681636;-0,008125625;0,000170283;-0,002171072
